Route_UID,Route_Name
2156,703DOWN
2160,708DOWN
2161,708UP
2162,711ADOWN
2163,711AUP
2164,711DOWN
2165,711UP
2166,715DOWN
2167,715UP
2168,716DOWN
2169,716UP
2170,717ADOWN
2171,717AUP
2172,717BDOWN
2173,717BUP
2174,717DOWN
2175,717UP
2176,718DOWN
2179,718UP
2180,720DOWN
2182,721DOWN
2183,721UP
2186,723DOWN
2187,723UP
2188,724ADOWN
2189,724AUP
2192,724DOWN
2196,725DOWN
2204,729UP
2205,73DOWN
2206,73UP
2212,740EXTDOWN
2213,740EXTUP
2214,740UP
2223,752DOWN
2224,752UP
2225,753DOWN
2226,753UP
2227,761DOWN
2228,761UP
2229,764DOWN
2232,764UP
2234,765UP
2245,778DOWN
2246,778UP
2250,78DOWN
2251,78UP
2256,793DOWN
2257,793UP
2260,794DOWN
2261,794UP
2262,801-IGI-INDDOWN
2263,801-IND-IGIUP
2264,803DOWN
2271,808UP
2273,809UP
2276,813DOWN
2284,817NUP
2286,818DOWN
2287,818UP
2292,821DOWN
2296,825ADOWN
2297,825AUP
2298,825DOWN
2308,829DOWN
2309,829UP
2316,835DOWN
2317,835UP
2322,83DOWN
2324,840DOWN
2327,842UP
2332,848DOWN
2333,848UP
2340,85DOWN
2341,85EXTDOWN
2342,85EXTUP
2343,85UP
2345,861AUP
2357,873UP
2358,876DOWN
2362,879ADOWN
2363,879AUP
2364,879BDOWN
2366,879DOWN
2367,879UP
2368,882ADOWN
2369,882AUP
2372,883DOWN
2373,883UP
2376,887DOWN
2377,887UP
2378,889DOWN
2379,889UP
2382,891DOWN
2383,891UP
2386,894DOWN
2387,894UP
2390,8ADOWN
2391,8AUP
2392,8DOWN
2393,8UP
2394,901DOWN
2396,905DOWN
2398,906DOWN
2400,907DOWN
2402,908DOWN
2403,908UP
2404,910ADOWN
2406,910DOWN
2407,910UP
2408,911DOWN
2409,911UP
2411,912UP
2416,918DOWN
2417,918UP
2420,921DOWN
2430,925DOWN
2432,926DOWN
2433,926UP
2434,928DOWN
2435,928UP
2440,930DOWN
2442,931DOWN
2443,931UP
2447,934AUP
2448,934DOWN
2449,934UP
2450,935DOWN
2452,937ADOWN
2453,937AUP
2454,938ADOWN
2455,938AUP
2458,939DOWN
2459,939UP
2462,940DOWN
2465,940UP
2466,941DOWN
2474,946DOWN
2475,946UP
2479,947UP
2480,948DOWN
2481,948UP
2484,949DOWN
2486,949EXTUP
2487,949UP
2488,950DOWN
2493,953UP
2501,962AUP
2508,963DOWN
2512,966DOWN
2514,966EXTUP
2515,966UP
2516,968UP
2523,970DOWN
2524,970UP
2527,971DOWN
2530,971UP
2539,974DOWN
2541,975DOWN
2543,978DOWN
2544,978UP
2552,984AUP
2555,988DOWN
2556,988UP
2557,990ADOWN
2558,990AUP
2561,990DOWN
2562,990EXTDOWN
2563,990EXTUP
2564,990UP
2569,992UP
2573,AIRPORT-06UP
2582,AIRPORT-STLDOWN
2583,AIRPORT-STLUP
2586,ANAND VIHAR ISBT TO GURGAON UP
2589,BADARPUR BORDER TO GURGAON UP
2592,BAHADURGARH TO N.D.RLY. ST. G.-2 DOWN
2595,BYPASS EXPRESS DOWN
2596,BYPASS EXPRESS UP
2664,DW-5UP
2693,GL-23DOWN
2694,GL-23UP
2700,GRAMIN MUDRIKA (-) DOWN
2705,KARAM PURA TERMINAL TO BAHADURGARH UP
2713,N.D.RLY. ST. G.-2 TO BAHADURGARH UP
2717,OMS(-)DOWN
2726,RL-77EXTUP
2734,TMS(+)UP
2735,TMS(-)DOWN
2760,727BDOWN
2761,727BUP
2762,741BDOWN
2763,741BUP
2782,D-038DOWN
2783,D-038UP
2784,D-040DOWN
2787,D-040UP
2788,D-044DOWN
2789,D-044UP
2792,D-052DOWN
2793,D-052UP
2794,D-056DOWN
2796,D-056STLUP
2797,D-056UP
2798,D-058DOWN
2800,D-064UP
2801,D-068DOWN
2804,D-068UP
2805,D-070DOWN
2808,D-070UP
2811,D-072DOWN
2812,D-072UP
2813,D-074DOWN
2814,D-074UP
2817,OMSEV(-)BH
2822,120CDOWN
2826,168DOWN
2834,404DOWN
2837,605BUP
2838,715ADOWN
2848,913DOWN
2854,968DOWN
2861,990CDOWN
2862,990CUP
2863,992DOWN
2864,AIRPORT-EXP-04DOWN
2865,AIRPORT-EXP-04UP
2868,CBD CIRCULATOR-3 (+) UP
2869,CBD CIRCULATOR-3 (-) DOWN
2871,D-4401UP
2874,D-4403DOWN
2875,D-4403UP
2880,D-4501DOWN
2881,D-4501UP
2882,D-4502DOWN
2883,D-4502UP
2884,D-5401DOWN
2885,D-5401UP
2889,D-5501UP
2891,D-5502UP
2892,D-5503DOWN
2893,D-5503UP
2894,D-5504DOWN
2895,D-5504UP
2896,D-5505DOWN
2897,D-5505UP
2901,D-5507UP
2902,D-5508DOWN
2903,D-5508UP
2905,DCS(+)UP
2907,GUBHANA MAJRI TO TILAK NAGAR DOWN
2909,GURGAON TO KAROL BAGH DOWN
2910,GURGAON TO UTTAM NAGAR (T) DOWN
2914,NCR BAHADURGAR-GURUGRAM UP
2916,NCR JHAJJAR-NAJAFGARH DOWN
2917,NCR NAJAFGARH- JHAJJAR UP
2921,DCS(-)DOWN
2922,952ADOWN
2924,AIIMS BADSA TO NAJAFGARH TERMINAL
2925,NAJAFGARH TERMINAL TO AIIMS BADSA
2927,U-SPL-01DOWN
2936,U-SPL-05UP
2939,U-SPL-07DOWN
2945,U-SPL-10DOWN
2947,U-SPL-11DOWN
2949,U-SPL-12DOWN
2951,U-SPL-13DOWN
2969,U-SPL-22DOWN
2979,718STL-DWS-2UP
2981,727STLUP
2987,801STL-DW-2UP
2989,883STLUP
2997,D-0001UP
3002,D-0004DOWN
3003,D-0004UP
3004,D-0005DOWN
3006,D-1101(+)UP
3008,D-1102DOWN
3010,D-1103DOWN
3011,D-1103UP
3012,D-1104DOWN
3013,D-1104UP
3014,D-2001DOWN
3015,D-2001UP
